北京联通-组播1,#genre#
IPTV爱生活,http://n2.192372.xyz:8888/rtp/239.3.1.86:4120
IPTV美人,http://n2.192372.xyz:8888/rtp/239.3.1.73:4120
IPTV美妆,http://n2.192372.xyz:8888/rtp/239.3.1.72:4120
IPTV足球,http://n2.192372.xyz:8888/rtp/239.3.1.89:4120
IPTV鉴赏,http://n2.192372.xyz:8888/rtp/239.3.1.82:4120
上海动漫秀场,http://n2.192372.xyz:8888/rtp/239.3.1.202:8001
上海游戏风云,http://n2.192372.xyz:8888/rtp/239.3.1.205:8001
上海乐游,http://n2.192372.xyz:8888/rtp/239.3.1.207:8001
上海乐游,http://n2.192372.xyz:8888/rtp/239.3.1.114:8001
上海法治天地,http://n2.192372.xyz:8888/rtp/239.3.1.204:8001
上海都市剧场,http://n2.192372.xyz:8888/rtp/239.3.1.203:8001
上海金色学堂,http://n2.192372.xyz:8888/rtp/239.3.1.208:8001
上海生活时尚,http://n2.192372.xyz:8888/rtp/239.3.1.206:8001
上海纪实人文,http://n2.192372.xyz:8888/rtp/239.3.1.212:8060
上海魅力足球,http://n2.192372.xyz:8888/rtp/239.3.1.201:8001
江苏财富天下,http://n2.192372.xyz:8888/rtp/239.3.1.53:9136
湖北快乐垂钓,http://n2.192372.xyz:8888/rtp/239.3.1.164:8001
湖南茶频道,http://n2.192372.xyz:8888/rtp/239.3.1.165:8001
湖南金鹰纪实,http://n2.192372.xyz:8888/rtp/239.3.1.58:8156
湖南金鹰卡通,http://n2.192372.xyz:8888/rtp/239.3.1.51:9252
广东嘉佳卡通,http://n2.192372.xyz:8888/rtp/239.3.1.147:9268
光影,http://n2.192372.xyz:8888/rtp/239.3.1.84:4120
睛彩羽毛球,http://n2.192372.xyz:8888/rtp/239.3.1.127:8001

门头沟电视台,http://n2.192372.xyz:8888/rtp/239.3.1.59:8001
房山电视台,http://n2.192372.xyz:8888/rtp/239.3.1.96:8001
通州融媒,http://n2.192372.xyz:8888/rtp/239.3.1.221:8001
平谷融媒[高清],http://n2.192372.xyz:8888/rtp/239.3.1.23:8001
密云电视台,http://n2.192372.xyz:8888/rtp/239.3.1.154:8001
延庆电视台,http://n2.192372.xyz:8888/rtp/239.3.1.187:8001
朝阳融媒,http://n2.192372.xyz:8888/rtp/239.3.1.163:8001
广东卫视[超清HDR],http://n2.192372.xyz:8888/rtp/239.3.1.27:2000
深圳卫视[超清HDR],http://n2.192372.xyz:8888/rtp/239.3.1.28:2000

4K测试,http://n2.192372.xyz:8888/rtp/239.3.1.104:8001
BRTV 8K[8K],http://n2.192372.xyz:8888/rtp/239.3.1.252:8001
BRTV卡酷少儿,http://n2.192372.xyz:8888/rtp/239.3.1.120:8000
