浙江电信-组播1,#genre#
宁波生活频道,http://maymoon.asuscomm.com:7777/rtp/233.50.201.178:5140
温州新闻综合,http://maymoon.asuscomm.com:7777/rtp/233.50.201.87:5140
嘉兴新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.201.163:5140
湖州新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.201.158:5140
绍兴新闻综合,http://maymoon.asuscomm.com:7777/rtp/233.50.201.156:5140
金华新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.201.161:5140
衢州公共频道,http://maymoon.asuscomm.com:7777/rtp/233.50.202.12:5140
衢州新闻综合,http://maymoon.asuscomm.com:7777/rtp/233.50.202.11:5140
丽水新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.201.162:5140

Bestv29,http://maymoon.asuscomm.com:7777/rtp/233.50.200.138:5140
CCTV4A,http://maymoon.asuscomm.com:7777/rtp/233.50.200.51:5140
CCTV16SDR,http://maymoon.asuscomm.com:7777/rtp/233.50.201.63:5140
YMG新闻频道,http://maymoon.asuscomm.com:7777/rtp/233.50.201.159:5140
中国蓝直播,http://maymoon.asuscomm.com:7777/rtp/233.50.201.108:5140
中国蓝直播,http://maymoon.asuscomm.com:7777/rtp/233.50.201.193:5140
临平新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.202.32:5140
全纪实,http://maymoon.asuscomm.com:7777/rtp/233.50.200.148:5140
晴彩广场舞,http://maymoon.asuscomm.com:7777/rtp/233.50.202.29:5140
晴彩竞技,http://maymoon.asuscomm.com:7777/rtp/233.50.202.26:5140
晴彩篮球,http://maymoon.asuscomm.com:7777/rtp/233.50.202.27:5140
晴彩羽毛球,http://maymoon.asuscomm.com:7777/rtp/233.50.202.28:5140
未知节目,http://maymoon.asuscomm.com:7777/rtp/233.50.201.224:5140
未知节目,http://maymoon.asuscomm.com:7777/rtp/233.50.201.225:5140
未识别,http://maymoon.asuscomm.com:7777/rtp/233.50.200.32:5140
桐乡新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.201.169:5140
滋鲜鲜足100天T,http://maymoon.asuscomm.com:7777/rtp/233.50.201.195:5140
直播,http://maymoon.asuscomm.com:7777/rtp/233.50.200.223:5140
经济生活,http://maymoon.asuscomm.com:7777/rtp/233.50.201.29:5140
综合HTV-,http://maymoon.asuscomm.com:7777/rtp/233.50.201.21:5140
节目预告,http://maymoon.asuscomm.com:7777/rtp/233.50.201.20:5140
订则夏,http://maymoon.asuscomm.com:7777/rtp/233.50.200.215:5140
购物,http://maymoon.asuscomm.com:7777/rtp/233.50.200.34:5140

浙江电信-组播2,#genre#
浙江卫视,http://zjhuct.icu:8889/rtp/233.50.200.79:5140
浙江卫视,http://zjhuct.icu:8889/rtp/233.50.200.145:5140
浙江卫视,http://zjhuct.icu:8889/rtp/233.50.201.27:5140
浙江卫视,http://zjhuct.icu:8889/rtp/233.50.201.100:5140
浙江卫视,http://zjhuct.icu:8889/rtp/233.50.201.221:5140
浙江卫视,http://zjhuct.icu:8889/rtp/233.50.202.104:5140

浙江之声 FM,http://zjhuct.icu:8889/rtp/233.50.201.79:5140
